Date,Close,Open,High,Low,Change
"July 10, 2011",1.4153,1.4218,1.4284,1.3838,-0.82
"July 17, 2011",1.4356,1.4114,1.4441,1.4012,1.43
"July 24, 2011",1.4396,1.4397,1.4537,1.4229,0.28
"July 31, 2011",1.4282,1.4359,1.4455,1.4056,-0.79
"August 07, 2011",1.4249,1.4386,1.4402,1.4103,-0.23
"August 14, 2011",1.4398,1.4261,1.452,1.4259,1.05
"August 21, 2011",1.4499,1.4376,1.4503,1.4327,0.7
"August 28, 2011",1.4205,1.4498,1.4551,1.4184,-2.03
"September 04, 2011",1.3653,1.4167,1.4277,1.3628,-3.89
"September 11, 2011",1.38,1.357,1.3939,1.3502,1.08
"September 18, 2011",1.3498,1.3673,1.3791,1.3385,-2.19
"September 25, 2011",1.3386,1.3509,1.3691,1.3363,-0.83
"October 02, 2011",1.3377,1.3338,1.3527,1.3147,-0.07
"October 09, 2011",1.3877,1.3397,1.3896,1.3378,3.74
"October 16, 2011",1.3896,1.3885,1.3916,1.3653,0.14
"October 23, 2011",1.4148,1.3866,1.4249,1.3798,1.81
"October 30, 2011",1.3796,1.415,1.4171,1.361,-2.49
"November 06, 2011",1.3752,1.3838,1.3861,1.3483,-0.32
"November 13, 2011",1.351,1.3807,1.3813,1.3422,-1.76
"November 20, 2011",1.3234,1.3506,1.3569,1.3211,-2.04
"November 27, 2011",1.3403,1.3318,1.3549,1.3258,1.28
"December 04, 2011",1.3375,1.3438,1.3489,1.3283,-0.21
"December 11, 2011",1.3035,1.3384,1.3388,1.2947,-2.54
"December 18, 2011",1.3043,1.3045,1.3199,1.2982,0.06
"December 25, 2011",1.2948,1.3047,1.3085,1.2858,-0.73
"January 01, 2012",1.2721,1.2938,1.3077,1.2696,-1.75
"January 08, 2012",1.2677,1.2691,1.2879,1.2624,-0.35
"January 15, 2012",1.2938,1.2637,1.2986,1.2624,2.06
"January 22, 2012",1.3226,1.2872,1.323,1.2872,2.23
"January 29, 2012",1.3144,1.3224,1.323,1.3024,-0.62
"February 05, 2012",1.3175,1.3113,1.3323,1.3028,0.24
"February 12, 2012",1.3152,1.3207,1.3283,1.2973,-0.17
"February 19, 2012",1.3457,1.3187,1.3489,1.3175,2.32
"February 26, 2012",1.3203,1.3466,1.3487,1.3188,-1.89
"March 04, 2012",1.3114,1.319,1.3291,1.3096,-0.67
"March 11, 2012",1.3175,1.3112,1.3193,1.3004,0.47
"March 18, 2012",1.3273,1.3181,1.3295,1.3135,0.74
"March 25, 2012",1.3344,1.3272,1.3386,1.3191,0.53
"April 01, 2012",1.3096,1.336,1.3382,1.3035,-1.86
"April 08, 2012",1.3077,1.3102,1.3215,1.3034,-0.15
"April 15, 2012",1.3224,1.3068,1.3228,1.2995,1.12
"April 22, 2012",1.3255,1.3194,1.3273,1.3106,0.23
"April 29, 2012",1.3083,1.3241,1.3285,1.3079,-1.3
"May 06, 2012",1.2917,1.303,1.3067,1.2905,-1.27
"May 13, 2012",1.2783,1.2882,1.2905,1.2641,-1.04
"May 20, 2012",1.2517,1.2783,1.2826,1.2497,-2.08
"May 27, 2012",1.2435,1.2569,1.2626,1.2288,-0.66
"June 03, 2012",1.2517,1.2433,1.2626,1.2386,0.66
"June 10, 2012",1.2638,1.2659,1.267,1.2443,0.97
"June 17, 2012",1.257,1.2722,1.2749,1.252,-0.54
"June 24, 2012",1.266,1.2553,1.2694,1.2407,0.72
"July 01, 2012",1.2288,1.2672,1.2674,1.226,-2.94
"July 08, 2012",1.2252,1.2271,1.2334,1.2161,-0.29
"July 15, 2012",1.2157,1.2255,1.2322,1.2144,-0.78
"July 22, 2012",1.2319,1.2119,1.239,1.2041,1.33
"July 29, 2012",1.2387,1.2342,1.2406,1.2134,0.55
"August 05, 2012",1.229,1.2378,1.2443,1.2239,-0.78
"August 12, 2012",1.2334,1.228,1.2386,1.2255,0.36
"August 19, 2012",1.2513,1.2344,1.259,1.2294,1.45
"August 26, 2012",1.2577,1.2512,1.2638,1.2465,0.51
"September 02, 2012",1.2816,1.2567,1.2818,1.2501,1.9
"September 09, 2012",1.3127,1.2809,1.3171,1.2755,2.43
"September 16, 2012",1.298,1.3127,1.3169,1.2919,-1.12
"September 23, 2012",1.2858,1.298,1.299,1.2828,-0.94
"September 30, 2012",1.3034,1.2859,1.3072,1.2803,1.37
"October 07, 2012",1.295,1.303,1.3035,1.2824,-0.64
"October 14, 2012",1.3022,1.2956,1.314,1.289,0.56
"October 21, 2012",1.2942,1.3014,1.3085,1.2883,-0.61
